Consumo ClO2 Etapa D0 L1,CONSUMO ESPECIFICO CLO2
0.18,17.560008878412408
0.202,16.870086120384883
0.179,16.8281174824351
0.186,16.804761889302625
0.19,16.653687866234673
0.217,18.11385306370191
0.18,17.627815411243763
0.196,18.059510778779156
0.188,17.041216470294945
0.2,20.024143454644843
0.188,16.5683083414284
0.197,17.044358939466075
0.185,15.922124745269397
0.157,16.736417811295546
0.188,16.8523428709498
0.167,17.718862063778356
0.176,17.402862441701167
0.184,18.915357038166096
0.193,17.925518062175968
0.187,16.66932283649746
0.195,17.12431333038786
0.204,19.559784340629182
0.217,18.623753033224716
0.196,19.214197195047205
0.189,17.173778775868033
0.177,20.061930860509342
0.195,18.129993970298468
0.201,19.074894849553065
0.192,17.35054788352624
0.159,17.083884506476256
0.171,16.057339283148625
0.201,18.742526191333333
0.174,17.464230747453023
0.198,16.787874364464898
0.198,18.20737932186068
0.21,18.339037719258
0.193,17.647889273734176
0.192,18.243968154780354
0.165,17.547809443161896
0.19,16.771703364771774
0.16,17.05235285813263
0.206,18.343876721362022
0.196,17.56212005252947
0.17,16.13548052365924
0.203,16.6065636395922
0.178,16.128258609595356
0.202,18.078220514410237
0.177,18.877018963437717
0.159,17.999938336775923
0.203,17.792219869401517
0.19,17.59539699432536
0.197,18.24830626123497
0.192,17.085743129000452
0.186,16.408863389753957
0.185,18.47701857243219
0.206,16.629883360101875
0.192,16.868659975456072
0.185,16.401429930113213
0.2,20.95268047852874
0.186,17.538303179310418
0.185,16.18545122321272
0.19,18.11036293668888
0.191,16.99286182340186
0.188,17.085551678495648
0.2,16.378867374246358
0.19,17.157046924384744
0.204,17.385461393644025
0.181,16.153986454437348
0.203,18.09238898152573
0.185,18.35692555518405
0.163,16.770841875800066
0.189,17.242324146434566
0.188,16.51370314848246
0.176,17.223149202837064
0.195,18.191416838233792
0.158,19.244786916799875
0.21,16.73547822589926
0.184,18.355100045612595
0.195,17.835391164533085
0.188,17.624037210501786
0.181,16.186980852135548
0.193,16.827693055846336
0.204,17.39711579462614
0.209,17.61396000078118
0.191,18.048275230502902
0.191,18.07939698212005
0.206,18.042411486260093
0.186,17.684152383199528
0.187,17.70909334966097
0.179,15.851937306157732
0.181,18.11990451869157
0.186,17.3917318589819
0.201,21.483154660150017
0.18,16.674765451460928
0.168,17.372817464441336
0.196,17.81139716673943
0.183,15.700148324672131
0.208,17.11144686042852
0.202,16.193153313144446
0.198,16.15474607805873
0.184,17.244403367447763
0.195,17.15635692133592
0.184,16.527046601535794
0.201,17.107316054130234
0.198,17.929396615546224
0.185,17.091528474590735
0.203,18.760719764679944
0.187,16.41484050349889
0.197,17.10007480361671
0.195,17.382017622184996
0.201,18.782555119918047
0.185,17.180794891054934
0.193,16.641975299182292
0.218,18.940647222999
0.182,17.010797434413256
0.165,16.043670982243082
0.191,17.930083094119258
0.182,17.10391062398812
0.205,18.251098321113652
0.204,17.81994187369035
0.19,18.501508462935945
0.178,16.11628033305925
0.176,16.77826102459199
0.171,16.909108340641893
0.183,15.988807467046446
0.202,18.50387468063605
0.195,17.33663819383831
0.188,16.27604798764468
0.211,15.947658183724496
0.198,19.16587142159238
0.202,16.08993144490129
0.183,16.93573915281742
0.196,17.39679846170562
0.189,17.917148287872998
0.148,16.40876693626742
0.185,16.6196847299032
0.18,17.485812586853456
0.18,17.39065572804924
0.188,16.558246441891203
0.17,17.22890606063958
0.192,16.938387358708294
0.196,17.635098206708587
0.189,18.10473704834057
0.188,17.98730933142419
0.192,17.582032716211216
0.196,17.714720536976262
0.177,18.130470342612192
0.194,17.906401125919636
0.174,15.77946614661056
0.178,17.060180018275876
0.199,16.960932076907138
0.187,16.670128957661486
0.199,16.459419294820623
0.185,16.735734231078357
0.19,16.331946379331157
0.192,17.183393692455525
0.192,17.865145592200996
0.195,18.134854298742525
0.146,16.454392824830208
0.185,17.106357256367534
0.196,17.64030317959245
0.177,16.872891754616205
0.202,18.68598894123731
0.196,15.07398598346774
0.194,16.469771195448946
0.19,17.486330553718048
0.194,16.74023795569387
0.194,16.791474877832165
0.177,18.44774418555366
0.174,17.497131342617248
0.205,16.340377578145425
0.192,17.773194826613054
0.198,18.04060259631509
0.203,16.82373735864747
0.182,17.32411014350611
0.197,18.51117715390301
0.186,16.788897186302073
0.197,20.36528365942593
0.196,18.901316538536157
0.204,18.224262523436195
0.192,19.18109212943024
0.21,20.18348928359741
0.195,18.76747654197694
0.203,16.842813231494087
0.182,17.93415056253489
0.173,16.731358351590206
0.199,16.62041924240314
0.194,18.014089497433567
0.165,17.40380653925984
0.2,18.309361042596134
0.2,17.26883417309876
0.187,16.6531922156868
0.184,16.610104107863023
0.208,16.673958023386184
0.202,17.707727693786392
0.175,17.039531133301384
0.198,17.588990579829037
0.185,15.99267686864746
0.191,16.51452790212421
0.208,19.04648571455157
0.192,16.60704694467813
0.179,16.87064703755063
0.193,16.61220500133691
0.189,17.563583967828393
0.193,17.792164425940403
0.18,17.2623935554712
0.189,17.04000094464931
0.18,16.626907908466926
0.196,16.47998197507386
